Kurzbezeichnung;Parteiname
CDU;Christlich Demokratische Union Deutschlands
SPD;Sozialdemokratische Partei Deutschlands
DIE LINKE;DIE LINKE
GRÜNE;BÜNDNIS 90/DIE GRÜNEN
CSU;Christlich-Soziale Union in Bayern e.V.
FDP;Freie Demokratische Partei
AfD;Alternative für Deutschland
FREIE WÄHLER;FREIE WÄHLER
BVB/FREIE WÄHLER;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler
DKP;Deutsche Kommunistische Parte
MENSCHLICHE WELT;Menschliche Welt
Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
BP;Bayernpartei
Gartenpartei;Gartenpartei
Deutsche Konservative;DEUTSCHE KONSERVATIVE
MLPD;Marxistisch-Leninistische Partei Deutschlands
III. Weg;DER DRITTE WEG
SSW;Südschleswigscher Wählerverband
LIEBE;Europäische Partei LIEBE
Bündnis C;Bündnis C - Christen für Deutschland
UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie
Die Humanisten;Partei der Humanisten
dieBasis;Basisdemokratische Partei Deutschland
Volt;Volt Deutschland
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
Team Todenhöfer;Team Todenhöfer – Die Gerechtigkeitspartei
ÖDP;Ökologisch-Demokratische Partei
BüSo;Bürgerrechtsbewegung Solidarität
LD;Liberale Demokraten – Die Sozialliberalen
WiR2020;WiR2020
FAMILIE;Familien-Partei Deutschlands
Gesundheitsforschung;Partei für Gesundheitsforschung
BÜNDNIS21;diePinken/BÜNDNIS21
PIRATEN;Piratenpartei Deutschland
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
DiB;DEMOKRATIE IN BEWEGUNG
NPD;Nationaldemokratische Partei Deutschlands
SGV;SGV – Solidarität, Gerechtigparteikeit, Veränderung
PdF;Partei des Fortschritts
B*;bergpartei, die überpartei
Die Grauen;Die Grauen – Für alle Generationen
Graue Panther;Graue Panther
THP;Thüringer Heimatpartei
LKR;Liberal-Konservative Reformer
SGP;Sozialistische Gleichheitspartei, Vierte Internationale
Volksabstimmung;Ab jetzt…Demokratie durch Volksabstimmung
du.;Die Urbane. Eine HipHop Partei
BÜRGERBEWEGUNG;Bürgerbewegung für Fortschritt und Wandel
LfK;>> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –
DM;Deutsche Mitte
KlimalisteBW;Klimaliste Baden-Württemberg
sonstige;DIE SONSTIGEN
Wir2020;Wir2020
Übrige;Zur Wahl 2021 nicht angetretene Parteien
