id,Titel,Nachname,Vornamen,Geburtsjahr,Gruppenname,WahlkreisNr,LandId,Listenplatz,Jahr
0.0,,Abaga Ayingono,Carlos,1953.0,EB: Abaga Ayingono,129,,,2017.0
1.0,,Abdinghoff-Feldkemper,Olaf,1964.0,SPD,,NI,33,2017.0
2.0,,Abel,Valentin Christian,1991.0,FDP,268,BW,23,2017.0
3.0,,Abelmann,Jürgen,1958.0,DIE LINKE,033,,,2017.0
4.0,Dr.,von Abercron,Michael,1952.0,CDU,007,SH,10,2017.0
5.0,,Abmayr,Ruth Maria,1968.0,FREIE WÄHLER,252,BY,22,2017.0
6.0,,Achelwilm,Doris Maria,1976.0,DIE LINKE,,HB,1,2017.0
7.0,,Achenbach,Ulrich,1954.0,MLPD,,NW,19,2017.0
8.0,,Achilles,Matthias,1991.0,PIRATEN,087,,,2017.0
9.0,,Achtziger,Alina Christiane,1999.0,Die PARTEI,,BY,3,2017.0
10.0,,Acker,Reinmund Adam Johannes,1949.0,BGE,,BY,1,2017.0
11.0,Dr.,Ackermann,Lothar,1953.0,FDP,201,RP,11,2017.0
12.0,,Ackmann,Petra,1966.0,SPD,,HH,9,2017.0
13.0,,Adamski,Klaus Jürgen,1952.0,MLPD,,HH,10,2017.0
14.0,,Adamski,Yvonne,1978.0,MLPD,121,,,2017.0
15.0,,Adelsberger,Eric,1990.0,Die PARTEI,014,MV,1,2017.0
16.0,,Affani,Nadia,1976.0,SPD,,NI,34,2017.0
17.0,,Agena,Garrelt Itzen,1955.0,GRÜNE,024,NI,14,2017.0
18.0,,Aggelidis,Grigorios,1965.0,FDP,043,NI,3,2017.0
19.0,,Agu,Diyar,1999.0,DIE LINKE,099,NW,24,2017.0
20.0,,Ahrends,Marco,1982.0,Die PARTEI,,BE,41,2017.0
21.0,,Ahrens,Martin,1977.0,SPD,,SH,13,2017.0
22.0,,Ahrens,Petra,1969.0,DM,,BY,5,2017.0
23.0,,Ahrens,Thorsten,1968.0,DIE LINKE,157,,,2017.0
24.0,,Aicher,Julian,1958.0,ÖDP,,BW,9,2017.0
25.0,,Aiwanger,Hubert,1971.0,FREIE WÄHLER,228,BY,1,2017.0
26.0,,Akbulut,Gökay,1982.0,DIE LINKE,275,BW,3,2017.0
27.0,,Akcur,Mehmet,1975.0,DiB,,NI,3,2017.0
28.0,,Aktürk,Erhan,1965.0,MLPD,,NW,2,2017.0
29.0,,Al Basri,Saif,1989.0,Gesundheitsforschung,,NW,3,2017.0
30.0,,Al Dailami,Ali Abass Yahya,1981.0,DIE LINKE,173,,,2017.0
31.0,Dr.,Albach,Rolf William,1963.0,FDP,101,NW,26,2017.0
